serie Name,"país Name","2015"
"Literacy rate, adult female (% of females ages 15 and above)","Afghanistan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Albania","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Algeria","NA"
"Literacy rate, adult female (% of females ages 15 and above)","American Samoa","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Andorra","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Angola","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Antigua and Barbuda","99.42"
"Literacy rate, adult female (% of females ages 15 and above)","Arab World","67.14327"
"Literacy rate, adult female (% of females ages 15 and above)","Argentina","99.20877"
"Literacy rate, adult female (% of females ages 15 and above)","Armenia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Aruba","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Australia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Austria","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Azerbaijan","99.71714"
"Literacy rate, adult female (% of females ages 15 and above)","Bahamas, The","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bahrain","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bangladesh","62.25299"
"Literacy rate, adult female (% of females ages 15 and above)","Barbados","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Belarus","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Belgium","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Belize","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Benin","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bermuda","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bhutan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bolivia","88.58286"
"Literacy rate, adult female (% of females ages 15 and above)","Bosnia and Herzegovina","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Botswana","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Brazil","92.34379"
"Literacy rate, adult female (% of females ages 15 and above)","British Virgin Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Brunei Darussalam","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Bulgaria","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Burkina Faso","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Burundi","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Cabo Verde","82.04222"
"Literacy rate, adult female (% of females ages 15 and above)","Cambodia","75.03387"
"Literacy rate, adult female (% of females ages 15 and above)","Cameroon","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Canada","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Caribbean small states","92.72926"
"Literacy rate, adult female (% of females ages 15 and above)","Cayman Islands","NA"
