serie Name,"país Name","2015"
"Rate of out-of-school youth of upper secondary school age, female (%)","Afghanistan","69.55477"
"Rate of out-of-school youth of upper secondary school age, female (%)","Albania","15.69739"
"Rate of out-of-school youth of upper secondary school age, female (%)","Algeria","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","American Samoa","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Andorra","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Angola","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Antigua and Barbuda","23.43647"
"Rate of out-of-school youth of upper secondary school age, female (%)","Arab World","41.9693"
"Rate of out-of-school youth of upper secondary school age, female (%)","Argentina","6.41868"
"Rate of out-of-school youth of upper secondary school age, female (%)","Armenia","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Aruba","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Australia","0.95797"
"Rate of out-of-school youth of upper secondary school age, female (%)","Austria","7.63168"
"Rate of out-of-school youth of upper secondary school age, female (%)","Azerbaijan","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bahamas, The","34.80307"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bahrain","7.04467"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bangladesh","51.75478"
"Rate of out-of-school youth of upper secondary school age, female (%)","Barbados","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Belarus","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Belgium","1.73136"
"Rate of out-of-school youth of upper secondary school age, female (%)","Belize","37.01879"
"Rate of out-of-school youth of upper secondary school age, female (%)","Benin","65.85464"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bermuda","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bhutan","25.8609"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bolivia","17.84266"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bosnia and Herzegovina","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Botswana","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Brazil","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","British Virgin Islands","19.00238"
"Rate of out-of-school youth of upper secondary school age, female (%)","Brunei Darussalam","16.40634"
"Rate of out-of-school youth of upper secondary school age, female (%)","Bulgaria","14.19997"
"Rate of out-of-school youth of upper secondary school age, female (%)","Burkina Faso","74.37178"
"Rate of out-of-school youth of upper secondary school age, female (%)","Burundi","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Cabo Verde","21.69364"
"Rate of out-of-school youth of upper secondary school age, female (%)","Cambodia","NA"
"Rate of out-of-school youth of upper secondary school age, female (%)","Cameroon","58.44663"
"Rate of out-of-school youth of upper secondary school age, female (%)","Canada","15.16952"
"Rate of out-of-school youth of upper secondary school age, female (%)","Caribbean small states","26.4923"
"Rate of out-of-school youth of upper secondary school age, female (%)","Cayman Islands","NA"
